sizeof(int64_t)=8 sizeof(char)1
return new_buf:234881024 32768
return new_buf:151007537 67121457
return new_buf:543432804 2097168
return new_buf:5251123 2109456
return new_buf:50 50
return new_buf:13355979 58879
return new_buf:1060913 65328
return new_buf:808464433 808464432
return new_buf:3250176 32
return new_buf:892350513 892350513
return new_buf:15205644 59397
return new_buf:374485041 3171328
return new_buf:4202545 4202544
return new_buf:16777472 65537
return new_buf:808530424 67109118
return new_buf:385876016 1024
return new_buf:320876593 268435473
return new_buf:16809733 8324352
return new_buf:268828830 268828672
return new_buf:4194368 4194304
return new_buf:1024 44
return new_buf:539426816 8231
return new_buf:4096 4096
return new_buf:556871721 3205123
return new_buf:12337 32
return new_buf:12416 6
return new_buf:4096 4096
return new_buf:3223814 3223808
return new_buf:540029184 14336
return new_buf:3682353 3682304
return new_buf:808464689 19
return new_buf:20395584 79104
return new_buf:65312 16
return new_buf:808464568 808464568
return new_buf:16777009 16737328
return new_buf:77873 66817
return new_buf:19935281 77872
return new_buf:3225137 232
return new_buf:3158064 255
return new_buf:255 17
return new_buf:268439568 2883584
return new_buf:65535 65519
return new_buf:49 48
return new_buf:824193361 824193361
return new_buf:78139 63792
return new_buf:14679808 14679808
return new_buf:824193073 32
return new_buf:553648128 83886113
return new_buf:3158065 1
return new_buf:100 100
return new_buf:808517630 8453888
return new_buf:3211263 130944
return new_buf:3158065 27
return new_buf:892810805 892810784
return new_buf:708902911 10752
return new_buf:540621113 2111744
return new_buf:12337 12288
return new_buf:724665393 32
return new_buf:2101376 2101376
return new_buf:3733024 3012096
return new_buf:7451 7451
return new_buf:808464689 2
return new_buf:66816 65536
return new_buf:540029426 540029426
return new_buf:270541105 5714176
return new_buf:16384049 16384000
return new_buf:269024270 1081360
return new_buf:2898209 65280
return new_buf:820654129 64256
return new_buf:3158065 1048576
return new_buf:2109690 63744
return new_buf:3158065 16384
return new_buf:117442048 117442048
return new_buf:6129 12
return new_buf:3153457 6
return new_buf:757084480 100
return new_buf:8393036 8393036
return new_buf:821833776 20480
return new_buf:19714 227
return new_buf:540094513 17
return new_buf:35729919 3276544
return new_buf:137960761 3874816
return new_buf:892810801 892810784
return new_buf:808480817 3506175
return new_buf:72 72
return new_buf:524033852 16384
return new_buf:16003121 48
return new_buf:184553521 720912
return new_buf:8961809 32800
return new_buf:805562417 320929566
return new_buf:824122396 824115712
return new_buf:12593 1
return new_buf:824193073 49676033
return new_buf:808464689 808464433
return new_buf:16777280 16777220
return new_buf:737744177 737744177
return new_buf:542321458 156445488
return new_buf:70332465 3223601
return new_buf:67108864 61448
return new_buf:64512 4096
return new_buf:540881201 540881200
return new_buf:12337 12337
return new_buf:278409265 278409265
return new_buf:3616817 3219505
return new_buf:3342387 51
return new_buf:4534399 25600
return new_buf:16432 228
return new_buf:3158065 1900544
return new_buf:3158320 52721
return new_buf:892802865 13684736
return new_buf:49 3
return new_buf:12337 7936
return new_buf:4857983 1048576
return new_buf:808464433 808464433
return new_buf:540094513 117440512
return new_buf:3223857 3223840
return new_buf:32561 100
return new_buf:12599 21
return new_buf:3153971 3153952
return new_buf:808484609 1
return new_buf:587214897 587214897
return new_buf:808464433 808464433
return new_buf:33606974 1
return new_buf:808464433 64
return new_buf:49 4
return new_buf:520101681 2097152
return new_buf:56880 128
return new_buf:8335664 32561
return new_buf:221262205 221249792
return new_buf:7302961 7302914
return new_buf:16711936 3158068
return new_buf:6566193 6566144
return new_buf:3027441 3014912
return new_buf:100675889 2108209
return new_buf:808455238 537919538
return new_buf:98296 69633
return new_buf:12337 226
return new_buf:824193329 824193329
return new_buf:805842993 805842993
return new_buf:540141575 237
return new_buf:12339 7680
return new_buf:540094513 540094512
return new_buf:8388823 512
return new_buf:540938289 540938289
return new_buf:808464432 128
return new_buf:10987346 512
return new_buf:20848 255
return new_buf:3178495 3178288
return new_buf:19007 16384
return new_buf:6225920 7
return new_buf:754977837 19738672
return new_buf:808529953 3178496
return new_buf:8411955 8411955
return new_buf:811348017 805306368
return new_buf:3158065 458752
return new_buf:77873 77873
return new_buf:268435457 268435457
return new_buf:1447473 5654
return new_buf:14426159 16384
return new_buf:808318778 3145728
return new_buf:807088177 807088176
return new_buf:49 17
return new_buf:8355752 32512
return new_buf:806825984 560
return new_buf:65601281 52441376
return new_buf:9601024 3219505
return new_buf:1892 1892
return new_buf:825303057 3219456
return new_buf:32520 32512
return new_buf:8453937 33023
return new_buf:824206336 3219556
return new_buf:3377 481
return new_buf:1057536 4131
return new_buf:808485040 808464416
return new_buf:32580 127
return new_buf:875569203 8224
return new_buf:33554432 5632
return new_buf:456148017 5255168
return new_buf:8355629 3273215
return new_buf:824655875 24
return new_buf:824193073 251
return new_buf:807809073 16777216
return new_buf:824193073 3211776
return new_buf:557920304 150994944
return new_buf:540029312 4
return new_buf:822104115 2156288
return new_buf:825307150 16724273
return new_buf:65337 26
return new_buf:16781440 65552
return new_buf:285474820 15794176
return new_buf:81 20
return new_buf:9240755 36096
return new_buf:419430879 419430879
return new_buf:2175275 2175275
return new_buf:825241649 823865392
return new_buf:148 32
return new_buf:3244672 12644
return new_buf:540082431 6656
return new_buf:724639793 11141120
return new_buf:33562670 33554560
return new_buf:3158288 255
return new_buf:808464433 12336
return new_buf:1056817 41472
return new_buf:2764849 1376256
return new_buf:12526 256
return new_buf:808464432 65536
return new_buf:3158065 66
return new_buf:808661041 268435456
return new_buf:16723968 65536
return new_buf:808464433 808464432
return new_buf:256033 256033
return new_buf:3223872 32768
return new_buf:807415857 65280
return new_buf:49 49
return new_buf:271593792 271593792
return new_buf:824193280 8388608
return new_buf:10595940 8433252
return new_buf:808464433 12336
return new_buf:825504049 2560
return new_buf:16711729 3219505
return new_buf:3158321 12337
return new_buf:805371903 27392
return new_buf:939786240 8452608
return new_buf:24241709 3276544
return new_buf:905970431 7864320
return new_buf:32896 12337
return new_buf:262193 262193
return new_buf:541073456 12714048
return new_buf:808464433 520093696
return new_buf:926431544 926431522
return new_buf:3487008 13823
return new_buf:62848 241
return new_buf:67109888 326660
return new_buf:16435 16435
return new_buf:16459 16459
return new_buf:3236864 64
return new_buf:418406448 16384
return new_buf:656877351 656877312
return new_buf:822149168 318767104
return new_buf:16777472 6561792
return new_buf:3158323 3158272
return new_buf:4071475 1769472
return new_buf:269484033 1048576
return new_buf:657469568 354889776
return new_buf:4210993 4194320
return new_buf:16777216 5120000
return new_buf:822083633 12544
return new_buf:827208014 25600
return new_buf:1060913 1024
return new_buf:16630824 16630824
return new_buf:49 4
return new_buf:16776974 65280
return new_buf:4112 1
return new_buf:3219469 1
return new_buf:8453888 1024
return new_buf:842063409 842063409
return new_buf:389034240 389034240
return new_buf:70320177 56832
return new_buf:26227505 26226744
return new_buf:16777216 65536
return new_buf:14680318 622557
return new_buf:22861 22861
return new_buf:805306368 16187184
return new_buf:808525873 4176
return new_buf:10235953 196608
return new_buf:50331800 50331800
return new_buf:187705964 4
return new_buf:14737457 14688288
return new_buf:35451634 35440416
return new_buf:3219505 1536
return new_buf:58 58
return new_buf:3211290 256
return new_buf:4206641 56797
return new_buf:1650705 196608
return new_buf:3154431 1114302
return new_buf:809972217 808511489
return new_buf:808464672 6400
return new_buf:3158065 1900544
return new_buf:808464433 808464433
return new_buf:3158272 65536
return new_buf:6579300 6579300
return new_buf:439368753 50331648
return new_buf:808464433 808460336
return new_buf:3158527 3158527
return new_buf:338702385 655362
return new_buf:815102343 805338881
return new_buf:4408112 4
return new_buf:12359 8192
return new_buf:271593521 271581184
return new_buf:806367265 62720
return new_buf:28848216 28847217
return new_buf:691087700 2699552
return new_buf:3158065 12
return new_buf:8241 512
return new_buf:250 32
return new_buf:4149 4144
return new_buf:16724017 16723992
return new_buf:807416191 536870912
return new_buf:3158065 100
return new_buf:520093696 32512
return new_buf:8413247 8413247
return new_buf:536879104 100597760
return new_buf:3161392 1245184
return new_buf:218107136 3219505
return new_buf:16777216 56608
return new_buf:8388608 8388608
return new_buf:3223483 3223483
return new_buf:511516977 38404096
return new_buf:808464688 540553264
return new_buf:824202240 808726816
return new_buf:271593493 271593472
return new_buf:542126129 542126129
return new_buf:318734129 318729008
return new_buf:3244032 63232
return new_buf:3236887 4
return new_buf:808452204 808452204
return new_buf:12304 12288
return new_buf:12337 12337
return new_buf:16770048 1
return new_buf:545202303 536871012
return new_buf:820511537 808464433
return new_buf:553594926 2162480
return new_buf:808464689 808464451
return new_buf:808464433 48
return new_buf:822109416 822083600
return new_buf:19935281 21536
return new_buf:808529969 808517503
return new_buf:3219505 49
return new_buf:808497200 12336
return new_buf:6553607 3219505
return new_buf:3158321 2048
return new_buf:2113664 2113664
return new_buf:4194368 668160
return new_buf:3289649 3219556
return new_buf:540119295 540119295
return new_buf:808464433 524288
return new_buf:65280 32256
return new_buf:335544368 291
return new_buf:810685553 810684416
return new_buf:808464799 12336
return new_buf:808529969 805371904
